Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
134,175.000000,0.010802,0.010802,0.000000,-0.411086,-0.411086,0.000000
135,62.000000,0.003827,0.003827,0.000000,-0.554991,-0.554991,0.000000
136,220.000000,0.013580,0.013580,0.000000,-0.353779,-0.353779,0.000000
137,66.000000,0.004074,0.004074,0.000000,-0.549897,-0.549897,0.000000
138,79.000000,0.004877,0.004877,0.000000,-0.533342,-0.533342,0.000000
139,334.000000,0.020617,0.020617,0.000000,-0.208601,-0.208601,0.000000
140,44.000000,0.002716,0.002716,0.000000,-0.577914,-0.577914,0.000000
141,332.000000,0.020494,0.020494,0.000000,-0.211148,-0.211148,0.000000
142,1163.000000,0.071790,0.071790,0.000000,0.847124,0.847124,0.000000
143,2896.000000,0.178765,0.178765,0.000000,3.054086,3.054086,0.000000
144,813.000000,0.050185,0.050185,0.000000,0.401402,0.401402,0.000000
145,389.000000,0.024012,0.024012,0.000000,-0.138559,-0.138559,0.000000
146,340.000000,0.020988,0.020988,0.000000,-0.200960,-0.200960,0.000000
147,1458.000000,0.090000,0.090000,0.000000,1.222804,1.222804,0.000000
148,877.000000,0.054136,0.054136,0.000000,0.482905,0.482905,0.000000
149,437.000000,0.026975,0.026975,0.000000,-0.077431,-0.077431,0.000000
150,106.000000,0.006543,0.006543,0.000000,-0.498957,-0.498957,0.000000
151,365.000000,0.022531,0.022531,0.000000,-0.169123,-0.169123,0.000000
152,124.000000,0.007654,0.007654,0.000000,-0.476034,-0.476034,0.000000
153,230.000000,0.014198,0.014198,0.000000,-0.341044,-0.341044,0.000000
154,1116.000000,0.068889,0.068889,0.000000,0.787270,0.787270,0.000000
155,1727.000000,0.106605,0.106605,0.000000,1.565373,1.565373,0.000000
156,188.000000,0.011605,0.011605,0.000000,-0.394531,-0.394531,0.000000
157,318.000000,0.019630,0.019630,0.000000,-0.228977,-0.228977,0.000000
158,337.000000,0.020802,0.020802,0.000000,-0.204781,-0.204781,0.000000
159,101.000000,0.006235,0.006235,0.000000,-0.505325,-0.505325,0.000000
160,1535.000000,0.094753,0.094753,0.000000,1.320863,1.320863,0.000000
161,999.000000,0.061667,0.061667,0.000000,0.638271,0.638271,0.000000
162,2003.000000,0.123642,0.123642,0.000000,1.916857,1.916857,0.000000
163,80.000000,0.004938,0.004938,0.000000,-0.532068,-0.532068,0.000000
164,530.000000,0.032716,0.032716,0.000000,0.041003,0.041003,0.000000
165,182.000000,0.011235,0.011235,0.000000,-0.402172,-0.402172,0.000000
166,1852.000000,0.114321,0.114321,0.000000,1.724560,1.724560,0.000000
167,124.000000,0.007654,0.007654,0.000000,-0.476034,-0.476034,0.000000
168,99.000000,0.006111,0.006111,0.000000,-0.507872,-0.507872,0.000000
169,835.000000,0.051543,0.051543,0.000000,0.429418,0.429418,0.000000
170,417.000000,0.025741,0.025741,0.000000,-0.102901,-0.102901,0.000000
171,47.000000,0.002901,0.002901,0.000000,-0.574093,-0.574093,0.000000
172,285.000000,0.017593,0.017593,0.000000,-0.271002,-0.271002,0.000000
173,115.000000,0.007099,0.007099,0.000000,-0.487496,-0.487496,0.000000
174,251.000000,0.015494,0.015494,0.000000,-0.314301,-0.314301,0.000000
175,157.000000,0.009691,0.009691,0.000000,-0.434009,-0.434009,0.000000
176,362.000000,0.022346,0.022346,0.000000,-0.172943,-0.172943,0.000000
177,1255.000000,0.077469,0.077469,0.000000,0.964285,0.964285,0.000000
178,109.000000,0.006728,0.006728,0.000000,-0.495137,-0.495137,0.000000
179,374.000000,0.023086,0.023086,0.000000,-0.157661,-0.157661,0.000000
180,183.000000,0.011296,0.011296,0.000000,-0.400898,-0.400898,0.000000
181,692.000000,0.042716,0.042716,0.000000,0.247309,0.247309,0.000000
182,1910.000000,0.117901,0.117901,0.000000,1.798422,1.798422,0.000000
183,787.000000,0.048580,0.048580,0.000000,0.368291,0.368291,0.000000
184,950.000000,0.058642,0.058642,0.000000,0.575870,0.575870,0.000000
185,340.000000,0.020988,0.020988,0.000000,-0.200960,-0.200960,0.000000
186,586.000000,0.036173,0.036173,0.000000,0.112319,0.112319,0.000000
187,74.000000,0.004568,0.004568,0.000000,-0.539709,-0.539709,0.000000
188,112.000000,0.006914,0.006914,0.000000,-0.491316,-0.491316,0.000000
189,308.000000,0.019012,0.019012,0.000000,-0.241712,-0.241712,0.000000
190,197.000000,0.012160,0.012160,0.000000,-0.383070,-0.383070,0.000000
191,945.000000,0.058333,0.058333,0.000000,0.569503,0.569503,0.000000
192,693.000000,0.042778,0.042778,0.000000,0.248583,0.248583,0.000000
193,678.000000,0.041852,0.041852,0.000000,0.229480,0.229480,0.000000
194,248.000000,0.015309,0.015309,0.000000,-0.318121,-0.318121,0.000000
195,399.000000,0.024630,0.024630,0.000000,-0.125824,-0.125824,0.000000
196,45.000000,0.002778,0.002778,0.000000,-0.576640,-0.576640,0.000000
197,155.000000,0.009568,0.009568,0.000000,-0.436556,-0.436556,0.000000
198,73.000000,0.004506,0.004506,0.000000,-0.540983,-0.540983,0.000000
199,316.000000,0.019506,0.019506,0.000000,-0.231524,-0.231524,0.000000
200,370.000000,0.022840,0.022840,0.000000,-0.162755,-0.162755,0.000000
201,151.000000,0.009321,0.009321,0.000000,-0.441650,-0.441650,0.000000
202,996.000000,0.061481,0.061481,0.000000,0.634451,0.634451,0.000000
203,1230.000000,0.075926,0.075926,0.000000,0.932448,0.932448,0.000000
204,955.000000,0.058951,0.058951,0.000000,0.582237,0.582237,0.000000
205,653.000000,0.040309,0.040309,0.000000,0.197643,0.197643,0.000000
206,674.000000,0.041605,0.041605,0.000000,0.224386,0.224386,0.000000
207,1020.000000,0.062963,0.062963,0.000000,0.665014,0.665014,0.000000
208,965.000000,0.059568,0.059568,0.000000,0.594972,0.594972,0.000000
209,775.000000,0.047840,0.047840,0.000000,0.353009,0.353009,0.000000
210,1089.000000,0.067222,0.067222,0.000000,0.752885,0.752885,0.000000
211,498.000000,0.030741,0.030741,0.000000,0.000252,0.000252,0.000000
212,688.000000,0.042469,0.042469,0.000000,0.242215,0.242215,0.000000
213,716.000000,0.044198,0.044198,0.000000,0.277873,0.277873,0.000000
214,272.000000,0.016790,0.016790,0.000000,-0.287558,-0.287558,0.000000
215,1168.000000,0.072099,0.072099,0.000000,0.853491,0.853491,0.000000
216,3367.000000,0.207840,0.207840,0.000000,3.653900,3.653900,0.000000
217,489.000000,0.030185,0.030185,0.000000,-0.011210,-0.011210,0.000000
218,52.000000,0.003210,0.003210,0.000000,-0.567726,-0.567726,0.000000
219,641.000000,0.039568,0.039568,0.000000,0.182361,0.182361,0.000000
220,456.000000,0.028148,0.028148,0.000000,-0.053235,-0.053235,0.000000
221,275.000000,0.016975,0.016975,0.000000,-0.283737,-0.283737,0.000000
222,712.000000,0.043951,0.043951,0.000000,0.272779,0.272779,0.000000
223,310.000000,0.019136,0.019136,0.000000,-0.239165,-0.239165,0.000000
224,396.000000,0.024444,0.024444,0.000000,-0.129645,-0.129645,0.000000
225,370.000000,0.022840,0.022840,0.000000,-0.162755,-0.162755,0.000000
226,322.000000,0.019877,0.019877,0.000000,-0.223883,-0.223883,0.000000
227,192.000000,0.011852,0.011852,0.000000,-0.389437,-0.389437,0.000000
228,358.000000,0.022099,0.022099,0.000000,-0.178037,-0.178037,0.000000
229,672.000000,0.041481,0.041481,0.000000,0.221839,0.221839,0.000000
230,508.000000,0.031358,0.031358,0.000000,0.012987,0.012987,0.000000
231,167.000000,0.010309,0.010309,0.000000,-0.421274,-0.421274,0.000000
232,1239.000000,0.076481,0.076481,0.000000,0.943909,0.943909,0.000000
233,1074.000000,0.066296,0.066296,0.000000,0.733783,0.733783,0.000000
234,100.000000,0.006173,0.006173,0.000000,-0.506598,-0.506598,0.000000
235,256.000000,0.015802,0.015802,0.000000,-0.307933,-0.307933,0.000000
236,148.000000,0.009136,0.009136,0.000000,-0.445471,-0.445471,0.000000
237,4297.000000,0.265247,0.265247,0.000000,4.838248,4.838248,0.000000
238,458.000000,0.028272,0.028272,0.000000,-0.050688,-0.050688,0.000000
239,448.000000,0.027654,0.027654,0.000000,-0.063423,-0.063423,0.000000
240,463.000000,0.028580,0.028580,0.000000,-0.044321,-0.044321,0.000000
